codigo,version,descripcion,nivel,codigo_padre
0150,CNAE-2009,Producción agrícola combinada con la producción ganadera,4,015
0161,CNAE-2009,Actividades de apoyo a la agricultura,4,016
0162,CNAE-2009,Actividades de apoyo a la ganadería,4,016
0163,CNAE-2009,Actividades de preparación posterior a la cosecha,4,016
0164,CNAE-2009,Tratamiento de semillas para reproducción,4,016
0170,CNAE-2009,"Caza, captura de animales y servicios relacionados con las mismas",4,017
0210,CNAE-2009,Silvicultura y otras actividades forestales,4,021
0220,CNAE-2009,Explotación de la madera,4,022
0230,CNAE-2009,"Recolección de productos silvestres, excepto madera",4,023
0240,CNAE-2009,Servicios de apoyo a la silvicultura,4,024
0311,CNAE-2009,Pesca marina,4,031
0312,CNAE-2009,Pesca en agua dulce,4,031
0321,CNAE-2009,Acuicultura marina,4,032
0322,CNAE-2009,Acuicultura en agua dulce,4,032
0510,CNAE-2009,Extracción de antracita y hulla,4,051
0520,CNAE-2009,Extracción de lignito,4,052
0610,CNAE-2009,Extracción de crudo de petróleo,4,061
0620,CNAE-2009,Extracción de gas natural,4,062
0710,CNAE-2009,Extracción de minerales de hierro,4,071
